Analyse intensité de charge
Chargeur 220v -- Partage de connexion activé
Debut des mesures :     2023-08-24 09:58:52.548582 Charge: 3%
1.20 A / 10:15:03 / 0000968 s
1.20 A / 10:15:05 / 0000970 s
1.20 A / 10:15:07 / 0000972 s
1.20 A / 10:15:09 / 0000974 s
1.20 A / 10:15:11 / 0000976 s
1.35 A / 10:15:13 / 0000978 s
1.35 A / 10:15:15 / 0000980 s
1.35 A / 10:15:17 / 0000982 s
1.35 A / 10:15:19 / 0000984 s
1.35 A / 10:15:21 / 0000986 s
1.35 A / 10:15:23 / 0000988 s
1.35 A / 10:15:25 / 0000990 s
1.45 A / 10:15:27 / 0000992 s
1.35 A / 10:15:29 / 0000994 s
1.45 A / 10:15:31 / 0000996 s
1.45 A / 10:15:33 / 0000998 s
1.30 A / 10:15:35 / 0001000 s
1.30 A / 10:15:37 / 0001002 s
1.30 A / 10:15:39 / 0001004 s
1.30 A / 10:15:41 / 0001006 s
1.30 A / 10:15:43 / 0001008 s
1.30 A / 10:15:45 / 0001010 s
1.30 A / 10:15:47 / 0001012 s
1.30 A / 10:15:49 / 0001014 s
1.30 A / 10:15:51 / 0001016 s
1.48 A / 10:15:53 / 0001018 s
1.38 A / 10:15:55 / 0001020 s
1.38 A / 10:15:57 / 0001022 s
1.38 A / 10:15:59 / 0001024 s
1.48 A / 10:16:01 / 0001026 s
1.35 A / 10:16:03 / 0001028 s
1.35 A / 10:16:05 / 0001030 s
1.35 A / 10:16:07 / 0001032 s
1.35 A / 10:16:09 / 0001034 s
1.35 A / 10:16:11 / 0001036 s
1.25 A / 10:16:13 / 0001038 s
1.25 A / 10:16:15 / 0001040 s
1.25 A / 10:16:17 / 0001042 s
1.25 A / 10:16:19 / 0001044 s
1.25 A / 10:16:21 / 0001046 s
1.25 A / 10:16:23 / 0001048 s
1.25 A / 10:16:25 / 0001050 s
1.35 A / 10:16:27 / 0001052 s
1.35 A / 10:16:29 / 0001054 s
1.35 A / 10:16:31 / 0001056 s
1.20 A / 10:16:33 / 0001058 s
1.20 A / 10:16:35 / 0001060 s
1.20 A / 10:16:37 / 0001062 s
1.20 A / 10:16:39 / 0001064 s
1.20 A / 10:16:41 / 0001066 s
1.20 A / 10:16:43 / 0001068 s
1.20 A / 10:16:45 / 0001070 s
1.20 A / 10:16:47 / 0001072 s
1.20 A / 10:16:49 / 0001074 s
1.20 A / 10:16:51 / 0001076 s
1.20 A / 10:16:53 / 0001078 s
1.20 A / 10:16:55 / 0001080 s
1.20 A / 10:16:57 / 0001082 s
1.20 A / 10:16:59 / 0001084 s
1.20 A / 10:17:01 / 0001086 s
1.20 A / 10:17:03 / 0001088 s
1.20 A / 10:17:05 / 0001090 s
1.20 A / 10:17:07 / 0001092 s
1.20 A / 10:17:09 / 0001094 s
1.20 A / 10:17:11 / 0001096 s
1.20 A / 10:17:13 / 0001098 s
1.30 A / 10:17:15 / 0001100 s
1.30 A / 10:17:17 / 0001102 s
1.20 A / 10:17:19 / 0001104 s
1.20 A / 10:17:21 / 0001106 s
1.20 A / 10:17:23 / 0001108 s
1.20 A / 10:17:25 / 0001110 s
1.33 A / 10:17:27 / 0001112 s
1.33 A / 10:17:29 / 0001114 s
1.33 A / 10:17:31 / 0001116 s
1.20 A / 10:17:33 / 0001118 s
1.20 A / 10:17:35 / 0001120 s
1.20 A / 10:17:37 / 0001122 s
1.20 A / 10:17:39 / 0001124 s
1.20 A / 10:17:41 / 0001126 s
1.33 A / 10:17:43 / 0001128 s
1.33 A / 10:17:45 / 0001130 s
1.43 A / 10:17:47 / 0001132 s
1.30 A / 10:17:49 / 0001134 s
1.40 A / 10:17:51 / 0001136 s
1.23 A / 10:17:53 / 0001138 s
1.23 A / 10:17:55 / 0001140 s
1.23 A / 10:17:57 / 0001142 s
1.23 A / 10:17:59 / 0001144 s
1.23 A / 10:18:01 / 0001146 s
1.23 A / 10:18:03 / 0001148 s
1.23 A / 10:18:05 / 0001150 s
1.23 A / 10:18:07 / 0001152 s
1.23 A / 10:18:09 / 0001154 s
1.23 A / 10:18:11 / 0001156 s
1.23 A / 10:18:13 / 0001158 s
1.33 A / 10:18:15 / 0001160 s
1.18 A / 10:18:17 / 0001162 s
1.18 A / 10:18:19 / 0001164 s
1.18 A / 10:18:21 / 0001166 s
1.18 A / 10:18:23 / 0001168 s
1.30 A / 10:18:25 / 0001170 s
1.20 A / 10:18:27 / 0001172 s
1.20 A / 10:18:29 / 0001174 s
1.20 A / 10:18:31 / 0001176 s
1.20 A / 10:18:33 / 0001178 s
1.20 A / 10:18:35 / 0001180 s
1.20 A / 10:18:37 / 0001182 s
1.20 A / 10:18:39 / 0001184 s
1.20 A / 10:18:41 / 0001186 s
1.20 A / 10:18:43 / 0001188 s
1.20 A / 10:18:45 / 0001190 s
1.20 A / 10:18:47 / 0001192 s
1.20 A / 10:18:49 / 0001194 s
1.20 A / 10:18:51 / 0001196 s
1.33 A / 10:18:53 / 0001198 s
1.10 A / 10:18:55 / 0001200 s
1.10 A / 10:18:57 / 0001202 s
1.23 A / 10:18:59 / 0001204 s
1.23 A / 10:19:01 / 0001206 s
1.23 A / 10:19:03 / 0001208 s
1.23 A / 10:19:05 / 0001210 s
1.23 A / 10:19:07 / 0001212 s
1.23 A / 10:19:09 / 0001214 s
1.23 A / 10:19:11 / 0001216 s
1.23 A / 10:19:13 / 0001218 s
1.23 A / 10:19:15 / 0001220 s
1.23 A / 10:19:17 / 0001222 s
1.23 A / 10:19:19 / 0001224 s
1.23 A / 10:19:21 / 0001226 s
1.23 A / 10:19:23 / 0001228 s
1.23 A / 10:19:25 / 0001230 s
1.23 A / 10:19:27 / 0001232 s
1.23 A / 10:19:29 / 0001234 s
1.23 A / 10:19:31 / 0001236 s
1.23 A / 10:19:33 / 0001238 s
1.23 A / 10:19:35 / 0001240 s
1.23 A / 10:19:37 / 0001242 s
1.23 A / 10:19:39 / 0001244 s
1.23 A / 10:19:41 / 0001246 s
1.23 A / 10:19:43 / 0001248 s
1.33 A / 10:19:45 / 0001250 s
1.23 A / 10:19:47 / 0001252 s
1.23 A / 10:19:49 / 0001254 s
1.23 A / 10:19:51 / 0001256 s
1.23 A / 10:19:53 / 0001258 s
1.23 A / 10:19:55 / 0001260 s
1.23 A / 10:19:57 / 0001262 s
1.23 A / 10:19:59 / 0001264 s
1.23 A / 10:20:01 / 0001266 s
1.23 A / 10:20:03 / 0001268 s
1.23 A / 10:20:05 / 0001270 s
1.23 A / 10:20:07 / 0001272 s
1.23 A / 10:20:09 / 0001274 s
1.23 A / 10:20:11 / 0001276 s
1.23 A / 10:20:13 / 0001278 s
1.23 A / 10:20:15 / 0001280 s
1.23 A / 10:20:17 / 0001282 s
1.23 A / 10:20:19 / 0001284 s
1.40 A / 10:20:21 / 0001286 s
1.15 A / 10:20:23 / 0001288 s
1.15 A / 10:20:25 / 0001290 s
1.15 A / 10:20:27 / 0001292 s
1.15 A / 10:20:29 / 0001294 s
1.15 A / 10:20:31 / 0001296 s
1.15 A / 10:20:33 / 0001298 s
1.28 A / 10:20:35 / 0001300 s
1.28 A / 10:20:37 / 0001302 s
1.18 A / 10:20:39 / 0001304 s
1.18 A / 10:20:41 / 0001306 s
